,id,age,education,marital_status,income,childrenhome,dt_customer,recency,wine_products,fruit_products,meat_products,fish_products,sweet_products,gold_products,total_products,deal_purchases,web_purchases,catalog_purchases,store_purchases,total_purchases,web_visits_permonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,total_cmp,complain,response
0,5524,67,Graduation,Single,58138.0,0,2012-09-04,58,635,88,546,172,88,88,1617,3,8,10,4,22,7,0,0,0,0,0,0,0,1
1,2174,70,Graduation,Single,46344.0,2,2014-03-08,38,11,1,6,2,1,6,27,2,1,1,2,4,5,0,0,0,0,0,0,0,0
2,4141,59,Graduation,Together,71613.0,0,2013-08-21,26,426,49,127,111,21,42,776,1,8,2,10,20,4,0,0,0,0,0,0,0,0
3,6182,40,Graduation,Together,26646.0,1,2014-02-10,26,11,4,20,10,3,5,53,2,2,0,4,6,6,0,0,0,0,0,0,0,0
4,5324,43,PhD,Married,58293.0,1,2014-01-19,94,173,43,118,46,27,15,422,5,5,3,6,14,5,0,0,0,0,0,0,0,0
5,7446,57,Master,Together,62513.0,1,2013-09-09,16,520,42,98,0,42,14,716,2,6,4,10,20,6,0,0,0,0,0,0,0,0
6,965,53,Graduation,Divorced,55635.0,1,2012-11-13,34,235,65,164,50,49,27,590,4,7,3,7,17,6,0,0,0,0,0,0,0,0
7,6177,39,PhD,Married,33454.0,1,2013-05-08,32,76,10,56,3,1,23,169,2,4,0,4,8,8,0,0,0,0,0,0,0,0
8,4855,50,PhD,Together,30351.0,1,2013-06-06,19,14,0,24,3,3,2,46,1,3,0,2,5,9,0,0,0,0,0,0,0,1
9,5899,74,PhD,Together,5648.0,2,2014-03-13,68,28,0,6,1,1,13,49,1,1,0,0,1,20,1,0,0,0,0,1,0,0
10,1994,41,Graduation,Married,52028.5,1,2013-11-15,11,5,5,6,0,2,1,19,1,1,0,2,3,7,0,0,0,0,0,0,0,0
11,387,48,Basic,Married,7500.0,0,2012-11-13,59,6,16,11,11,1,16,61,1,2,0,3,5,8,0,0,0,0,0,0,0,0
12,2125,65,Graduation,Divorced,63033.0,0,2013-11-15,82,194,61,480,225,112,30,1102,1,3,4,8,15,2,0,0,0,0,0,0,0,0
13,8180,72,Master,Divorced,59354.0,2,2013-11-15,53,233,2,53,3,5,14,310,3,6,1,5,12,6,0,0,0,0,0,0,0,0
14,2569,37,Graduation,Married,17323.0,0,2012-10-10,38,3,14,17,6,1,5,46,1,1,0,3,4,8,0,0,0,0,0,0,0,0
15,2114,78,PhD,Single,82800.0,0,2012-11-24,23,1006,22,115,59,68,45,1315,1,7,6,12,25,3,0,0,1,1,0,2,0,1
16,9736,44,Graduation,Married,41850.0,2,2012-12-24,51,53,5,19,2,13,4,96,3,3,0,3,6,8,0,0,0,0,0,0,0,0
17,4939,78,Graduation,Together,37760.0,0,2012-08-31,20,84,5,38,150,12,28,317,2,4,1,6,11,7,0,0,0,0,0,0,0,0
18,6565,75,Master,Married,76995.0,1,2013-03-28,91,1012,80,498,0,16,176,1782,2,11,4,9,24,5,0,0,0,1,0,1,0,0
19,2278,39,2n Cycle,Single,33812.0,1,2012-11-03,86,4,17,19,30,24,39,133,2,2,1,3,6,6,0,0,0,0,0,0,0,0
20,9360,42,Graduation,Married,37040.0,0,2012-08-08,41,86,2,73,69,38,48,316,1,4,2,5,11,8,0,0,0,0,0,0,0,0
21,5376,45,Graduation,Married,2447.0,1,2013-01-06,42,1,1,1725,1,1,1,1730,15,0,28,0,28,1,0,0,0,0,0,0,0,0
22,1993,75,PhD,Married,58607.0,1,2012-12-23,63,867,0,86,0,0,19,972,3,2,3,9,14,8,0,1,0,0,0,1,0,0
23,4047,70,PhD,Married,65324.0,1,2014-01-11,0,384,0,102,21,32,5,544,3,6,2,9,17,4,0,0,0,0,0,0,0,0
24,1409,73,Graduation,Together,40689.0,1,2013-03-18,69,270,3,27,39,6,99,444,7,7,1,5,13,8,0,0,0,0,0,0,0,0
25,7892,55,Graduation,Single,18589.0,0,2013-01-02,89,6,4,25,15,12,13,75,2,2,1,3,6,7,0,0,0,0,0,0,0,0
26,2404,48,Graduation,Married,53359.0,2,2013-05-27,4,173,4,30,3,6,41,257,4,5,1,4,10,7,0,0,0,0,0,0,0,0
27,5255,38,Graduation,Single,52028.5,1,2013-02-20,19,5,1,3,3,263,362,637,0,27,0,0,27,1,0,0,0,0,0,0,0,0
28,9422,35,Graduation,Married,38360.0,1,2013-05-31,26,36,2,42,20,21,10,131,2,2,1,4,7,3,0,0,0,0,0,0,0,0
29,1966,59,PhD,Married,84618.0,0,2013-11-22,96,684,100,801,21,66,0,1672,1,6,9,10,25,2,0,0,1,0,0,1,0,0
30,6864,35,Master,Divorced,10979.0,0,2014-05-22,34,8,4,10,2,2,4,30,2,3,0,3,6,5,0,0,0,0,0,0,0,0
31,3033,61,Master,Together,38620.0,0,2013-05-11,56,112,17,44,34,22,89,318,1,2,5,3,10,3,0,0,0,0,0,0,0,0
32,5710,54,Graduation,Together,40548.0,1,2012-10-10,31,110,0,5,2,0,3,120,2,2,1,4,7,5,0,1,0,0,0,1,0,0
33,7373,72,PhD,Divorced,46610.0,2,2012-10-29,8,96,12,96,33,22,43,302,6,4,1,6,11,6,0,0,0,0,0,0,0,1
34,8755,78,Master,Married,68657.0,0,2013-02-20,4,482,34,471,119,68,22,1196,1,3,5,9,17,7,0,0,0,0,0,0,0,0
35,10738,73,Master,Single,49389.0,2,2013-08-29,55,40,0,19,2,1,3,65,1,2,0,3,5,7,0,0,0,0,0,0,0,0
36,4339,54,PhD,Married,67353.0,1,2013-12-31,37,702,17,151,0,8,35,913,5,5,6,12,23,2,0,0,0,0,0,0,0,0
37,10755,48,2n Cycle,Married,23718.0,1,2013-09-02,76,6,3,14,15,7,36,81,3,3,1,2,6,7,0,0,0,0,0,0,0,0
38,8595,51,Graduation,Widow,42429.0,1,2014-02-11,99,55,0,6,2,0,4,67,2,1,1,3,5,5,0,0,0,0,0,0,0,0
39,2968,81,PhD,Divorced,48948.0,0,2013-02-01,53,437,8,206,160,49,42,902,2,7,10,5,22,6,1,0,0,0,0,1,0,1
